Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,battingStyle,playingRole,Batting_Order,Range
Glenn Maxwell,15,25,1,0,60.00,Right hand Bat,Batting Allrounder,5,"4,5,6"
Alex Carey,0,2,0,0,0.00,Left hand Bat,Wicketkeeper Batter,6,"5,6,7"
Cameron Green,8,20,0,0,40.00,Right hand Bat,Batting Allrounder,7,"6,7,8"
Pat Cummins,15,24,1,1,62.50,Right hand Bat,Bowler,8,"7,8,9"
Mitchell Starc,28,35,2,1,80.00,Left hand Bat,Bowler,9,"8,9,10"
Adam Zampa,6,20,0,0,30.00,Right hand Bat,Bowler,10,"9,10,11"
Josh Hazlewood,1,1,0,0,100.00,Left hand Bat,Bowler,11,"10,11"
Rohit Sharma,0,6,0,0,0.00,Right hand Bat,Top order Batter,1,1
Ishan Kishan,0,1,0,0,0.00,Left hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,85,116,6,0,73.30,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,0,3,0,0,0.00,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,97,115,8,2,84.30,Right hand Bat,Opening Batter,5,"4,5,6"
Hardik Pandya,11,8,0,1,137.50,Right hand Bat,Allrounder,6,"5,6,7"
Devon Conway,32,40,5,1,80.00,Left hand Bat,Wicketkeeper Batter,1,1
Will Young,70,80,7,2,87.50,Right hand Bat,Top order Batter,2,"1,2,3"
Rachin Ravindra,51,51,3,1,100.00,Left hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,48,47,5,2,102.10,Right hand Bat,Allrounder,4,"3,4,5"
Tom Latham,53,46,6,1,115.20,Left hand Bat,Top order Batter,5,"4,5,6"
Glenn Phillips,4,4,1,0,100.00,Right hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mark Chapman,5,13,0,0,38.50,Left hand Bat,Middle order Batter,7,"6,7,8"
Mitchell Santner,36,17,3,2,211.80,Left hand Bat,Bowling Allrounder,8,"7,8,9"
Matt Henry,10,4,0,1,250.00,Right hand Bat,Bowler,9,"8,9,10"
Vikramjit Singh,12,20,1,0,60.00,Left hand Bat,Opening Batter,1,1
Max O'Dowd,16,31,2,0,51.60,Right hand Bat,Opening Batter,2,"1,2,3"
Colin Ackermann,69,73,5,0,94.50,Right hand Bat,Batting Allrounder,3,"2,3,4"
Bas de Leede,18,25,3,0,72.00,Right hand Bat,Batting Allrounder,4,"3,4,5"
Roelof van der Merwe,1,6,0,0,16.70,Right hand Bat,Allrounder,8,"7,8,9"
Paul van Meekeren,4,3,1,0,133.30,Right hand Bat,Bowler,11,"10,11"
Jonny Bairstow,52,59,8,0,88.10,Right hand Bat,Wicketkeeper Batter,1,1
Dawid Malan,140,107,16,5,130.80,Left hand Bat,Top order Batter,2,"1,2,3"
Joe Root,82,68,8,1,120.60,Right hand Bat,Top order Batter,3,"2,3,4"
Jos Buttler,20,10,1,1,200.00,Right hand Bat,Wicketkeeper Batter,4,"3,4,5"
Harry Brook,20,15,3,0,133.30,Right hand Bat,Batter,5,"4,5,6"
Liam Livingstone,0,1,0,0,0.00,Right hand Bat,Batting Allrounder,6,"5,6,7"
Sam Curran,11,15,1,0,73.30,Left hand Bat,Allrounder,7,"6,7,8"
Chris Woakes,14,11,2,0,127.30,Right hand Bat,Allrounder,8,"7,8,9"
Adil Rashid,11,7,1,0,157.10,Right hand Bat,Bowler,9,"8,9,10"
Mark Wood,6,5,1,0,120.00,Right hand Bat,Bowler,10,"9,10,11"
Reece Topley,1,2,0,0,50.00,Left hand Bat,Bowler,11,"10,11"
Litton Das,76,66,7,2,115.20,Right hand Bat,Wicketkeeper Batter,1,1
Tanzim Hasan,1,2,0,0,50.00,Left hand Bat,Top order Batter,2,"1,2,3"
