Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
Vikramjit Singh,12,20,1,0,60,Opening Batter,1
Max O'Dowd,16,31,2,0,51.6,Opening Batter,"1,2,3"
Colin Ackermann,69,73,5,0,94.5,Batting Allrounder,"2,3,4"
Bas de Leede,18,25,3,0,72,Batting Allrounder,"3,4,5"
Roelof van der Merwe,1,6,0,0,16.7,Allrounder,"7,8,9"
Paul van Meekeren,4,3,1,0,133.3,Bowler,"10,11"
Jonny Bairstow,52,59,8,0,88.1,Wicketkeeper Batter,1
Dawid Malan,140,107,16,5,130.8,Top order Batter,"1,2,3"
Joe Root,82,68,8,1,120.6,Top order Batter,"2,3,4"
Jos Buttler,20,10,1,1,200,Wicketkeeper Batter,"3,4,5"
Harry Brook,20,15,3,0,133.3,Batter,"4,5,6"
Liam Livingstone,0,1,0,0,0,Batting Allrounder,"5,6,7"
Sam Curran,11,15,1,0,73.3,Allrounder,"6,7,8"
Chris Woakes,14,11,2,0,127.3,Allrounder,"7,8,9"
Adil Rashid,11,7,1,0,157.1,Bowler,"8,9,10"
Mark Wood,6,5,1,0,120,Bowler,"9,10,11"
Reece Topley,1,2,0,0,50,Bowler,"10,11"
Litton Das,76,66,7,2,115.2,Wicketkeeper Batter,1
Tanzim Hasan,1,2,0,0,50,Top order Batter,"1,2,3"
Najmul Hossain Shanto,0,1,0,0,0,Top order Batter,"2,3,4"
Shakib Al Hasan,1,9,0,0,11.1,Allrounder,"3,4,5"
Mehidy Hasan Miraz,8,7,1,0,114.3,Allrounder,"4,5,6"
Mushfiqur Rahim,51,64,4,0,79.7,Middle order Batter,"5,6,7"
Towhid Hridoy,39,61,2,0,63.9,Middle order Batter,"6,7,8"
Mahedi Hasan,14,32,1,0,43.8,Allrounder,"7,8,9"
Taskin Ahmed,15,25,0,1,60,Bowler,"8,9,10"
Shoriful Islam,12,14,2,0,85.7,Bowler,"9,10,11"
Mustafizur Rahman,3,9,0,0,33.3,Bowler,"10,11"
Pathum Nissanka,51,61,7,1,83.6,Top order Batter,1
Kusal Janith Perera,0,4,0,0,0,Top order Batter,"1,2,3"
Kusal Mendis,122,77,14,6,158.4,Wicketkeeper Batter,"2,3,4"
Sadeera Samarawickrama,108,89,11,2,121.3,Top order Batter,"3,4,5"
Charith Asalanka,1,3,0,0,33.3,Batting Allrounder,"4,5,6"
Dhananjaya de Silva,25,34,3,0,73.5,Allrounder,"5,6,7"
Dasun Shanaka,12,18,0,0,66.7,Allrounder,"6,7,8"
Maheesh Theekshana,0,4,0,0,0,Bowler,"8,9,10"
Abdullah Shafique,113,103,10,3,109.7,Top order Batter,1
Imam-ul-Haq,12,12,1,0,100,Top order Batter,"1,2,3"
Babar Azam,10,15,1,0,66.7,Top order Batter,"2,3,4"
Mohammad Rizwan,131,121,8,3,108.3,Wicketkeeper Batter,"3,4,5"
Saud Shakeel,31,30,2,0,103.3,Middle order Batter,"4,5,6"
Iftikhar Ahmed,22,10,4,0,220,Middle order Batter,"5,6,7"
Rahmanullah Gurbaz,21,28,3,1,75,Wicketkeeper Batter,1
Ibrahim Zadran,22,28,4,0,78.6,Opening Batter,"1,2,3"
Rahmat Shah,16,22,3,0,72.7,Top order Batter,"2,3,4"
Hashmatullah Shahidi,80,88,8,1,90.9,Top order Batter,"3,4,5"
Azmatullah Omarzai,62,69,2,4,89.9,Allrounder,"4,5,6"
Mohammad Nabi,19,27,1,0,70.4,Allrounder,"5,6,7"
Najibullah Zadran,2,8,0,0,25,Middle order Batter,"6,7,8"
Rashid Khan,16,12,1,1,133.3,Bowling Allrounder,"7,8,9"
Mujeeb Ur Rahman,10,12,2,0,83.3,Bowler,"8,9,10"
Naveen-ul-Haq,9,8,1,0,112.5,Bowler,"9,10,11"
Rohit Sharma,131,84,16,5,156,Top order Batter,1
Ishan Kishan,47,47,5,2,100,Top order Batter,"1,2,3"
Virat Kohli,55,56,6,0,98.2,Top order Batter,"2,3,4"
Shreyas Iyer,25,23,1,1,108.7,Top order Batter,"3,4,5"
Quinton de Kock,109,106,8,5,102.8,Wicketkeeper Batter,1
Quinton de Kock,109,106,8,5,102.8,Wicketkeeper Batter,1
Temba Bavuma,35,55,2,0,63.6,Top order Batter,"1,2,3"
Temba Bavuma,35,55,2,0,63.6,Top order Batter,"1,2,3"
Rassie van der Dussen,26,30,2,0,86.7,Top order Batter,"2,3,4"
Rassie van der Dussen,26,30,2,0,86.7,Top order Batter,"2,3,4"
Aiden Markram,56,44,7,1,127.3,Opening Batter,"3,4,5"
Aiden Markram,56,44,7,1,127.3,Opening Batter,"3,4,5"
Heinrich Klaasen,29,27,3,0,107.4,Wicketkeeper Batter,"4,5,6"
Heinrich Klaasen,29,27,3,0,107.4,Wicketkeeper Batter,"4,5,6"
David Miller,17,13,1,1,130.8,Middle order Batter,"5,6,7"
David Miller,17,13,1,1,130.8,Middle order Batter,"5,6,7"
Marco Jansen,26,22,3,1,118.2,Allrounder,"6,7,8"
Marco Jansen,26,22,3,1,118.2,Allrounder,"6,7,8"
Kagiso Rabada,0,1,0,0,0,Bowler,"7,8,9"
Kagiso Rabada,0,1,0,0,0,Bowler,"7,8,9"
Keshav Maharaj,0,2,0,0,0,Bowler,"8,9,10"
Keshav Maharaj,0,2,0,0,0,Bowler,"8,9,10"
Mitchell Marsh,7,15,0,0,46.7,Allrounder,1
Mitchell Marsh,7,15,0,0,46.7,Allrounder,1
David Warner,13,27,2,0,48.1,Opening Batter,"1,2,3"
David Warner,13,27,2,0,48.1,Opening Batter,"1,2,3"
Steve Smith,19,16,4,0,118.8,Top order Batter,"2,3,4"
Steve Smith,19,16,4,0,118.8,Top order Batter,"2,3,4"
Marnus Labuschagne,46,74,3,0,62.2,Top order Batter,"3,4,5"
Marnus Labuschagne,46,74,3,0,62.2,Top order Batter,"3,4,5"
Josh Inglis,5,4,1,0,125,Wicketkeeper Batter,"4,5,6"
Josh Inglis,5,4,1,0,125,Wicketkeeper Batter,"4,5,6"
Glenn Maxwell,3,17,0,0,17.6,Batting Allrounder,"5,6,7"
Glenn Maxwell,3,17,0,0,17.6,Batting Allrounder,"5,6,7"
Marcus Stoinis,5,4,1,0,125,Batting Allrounder,"6,7,8"
