Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
Gerald Coetzee,3,3,0,0,100,Bowler,"7,8,9"
Keshav Maharaj,1,1,0,0,100,Bowler,"8,9,10"
Jonny Bairstow,10,12,1,1,83.3,Wicketkeeper Batter,1
Dawid Malan,6,11,1,0,54.5,Top order Batter,"1,2,3"
Joe Root,2,6,0,0,33.3,Top order Batter,"2,3,4"
Ben Stokes,5,8,1,0,62.5,Allrounder,"3,4,5"
Harry Brook,17,25,2,1,68,Batter,"4,5,6"
Jos Buttler,15,7,2,1,214.3,Wicketkeeper Batter,"5,6,7"
David Willey,12,12,1,1,100,Bowler,"6,7,8"
Adil Rashid,10,14,1,0,71.4,Bowler,"7,8,9"
Mark Wood,43,17,2,5,252.9,Bowler,"9,10,11"
Reece Topley,0,0,0,0,---,Bowler,"10,11"
Devon Conway,0,9,0,0,0,Wicketkeeper Batter,1
Will Young,17,27,3,0,63,Top order Batter,"1,2,3"
Rachin Ravindra,75,87,6,1,86.2,Top order Batter,"2,3,4"
Daryl Mitchell,130,127,9,5,102.4,Allrounder,"3,4,5"
Tom Latham,5,7,1,0,71.4,Top order Batter,"4,5,6"
Glenn Phillips,23,26,0,1,88.5,Wicketkeeper Batter,"5,6,7"
Mark Chapman,6,8,0,0,75,Middle order Batter,"6,7,8"
Mitchell Santner,1,2,0,0,50,Bowling Allrounder,"7,8,9"
Matt Henry,0,1,0,0,0,Bowler,"8,9,10"
Lockie Ferguson,1,5,0,0,20,Bowler,"9,10,11"
Trent Boult,0,1,0,0,0,Bowler,"10,11"
Rohit Sharma,46,40,4,4,115,Top order Batter,1
Shubman Gill,26,31,5,0,83.9,Top order Batter,"1,2,3"
Virat Kohli,95,104,8,2,91.3,Top order Batter,"2,3,4"
Shreyas Iyer,33,29,6,0,113.8,Top order Batter,"3,4,5"
KL Rahul,27,35,3,0,77.1,Opening Batter,"4,5,6"
Suryakumar Yadav,2,4,0,0,50,Batter,"5,6,7"
Ravindra Jadeja,39,44,3,1,88.6,Allrounder,"6,7,8"
Mohammed Shami,1,1,0,0,100,Bowler,"7,8,9"
Abdullah Shafique,58,75,5,2,77.3,Top order Batter,1
Imam-ul-Haq,17,22,2,0,77.3,Top order Batter,"1,2,3"
Babar Azam,74,92,4,1,80.4,Top order Batter,"2,3,4"
Mohammad Rizwan,8,10,0,1,80,Wicketkeeper Batter,"3,4,5"
Saud Shakeel,25,34,3,0,73.5,Middle order Batter,"4,5,6"
Shadab Khan,40,38,1,1,105.3,Allrounder,"5,6,7"
Iftikhar Ahmed,40,27,2,4,148.1,Middle order Batter,"6,7,8"
Shaheen Afridi,3,3,0,0,100,Bowler,"7,8,9"
Rahmanullah Gurbaz,65,53,9,1,122.6,Wicketkeeper Batter,1
Ibrahim Zadran,87,113,10,0,77,Opening Batter,"1,2,3"
Rahmat Shah,77,84,5,2,91.7,Top order Batter,"2,3,4"
Hashmatullah Shahidi,48,45,4,0,106.7,Top order Batter,"3,4,5"
Quinton de Kock,174,140,15,7,124.3,Wicketkeeper Batter,1
Reeza Hendricks,12,19,1,0,63.2,Top order Batter,"1,2,3"
Rassie van der Dussen,1,7,0,0,14.3,Top order Batter,"2,3,4"
Aiden Markram,60,69,7,0,87,Opening Batter,"3,4,5"
Heinrich Klaasen,90,49,2,8,183.7,Wicketkeeper Batter,"4,5,6"
David Miller,34,15,1,4,226.7,Middle order Batter,"5,6,7"
Marco Jansen,1,1,0,0,100,Allrounder,"6,7,8"
Tanzid Hasan,12,17,1,0,70.6,Top order Batter,1
Litton Das,22,44,3,1,50,Wicketkeeper Batter,"1,2,3"
Najmul Hossain Shanto,0,1,0,0,0,Top order Batter,"2,3,4"
Shakib Al Hasan,1,4,0,0,25,Allrounder,"3,4,5"
Mushfiqur Rahim,8,17,1,0,47.1,Middle order Batter,"4,5,6"
Mahmudullah,111,111,11,4,100,Middle order Batter,"5,6,7"
Mehidy Hasan Miraz,11,19,1,0,57.9,Allrounder,"6,7,8"
Nasum Ahmed,19,19,3,0,100,Bowler,"7,8,9"
Hasan Mahmud,15,25,2,0,60,Bowler,"8,9,10"
Mustafizur Rahman,11,21,2,0,52.4,Bowler,"9,10,11"
Shoriful Islam,6,4,1,0,150,Bowler,"10,11"
Mitchell Marsh,9,15,2,0,60,Allrounder,1
David Warner,104,93,11,3,111.8,Opening Batter,"1,2,3"
Steve Smith,71,68,9,1,104.4,Top order Batter,"2,3,4"
Marnus Labuschagne,62,47,7,2,131.9,Top order Batter,"3,4,5"
Josh Inglis,14,12,1,1,116.7,Wicketkeeper Batter,"4,5,6"
Glenn Maxwell,106,44,9,8,240.9,Batting Allrounder,"5,6,7"
Cameron Green,8,11,1,0,72.7,Batting Allrounder,"6,7,8"
Pat Cummins,12,9,2,0,133.3,Bowler,"7,8,9"
Mitchell Starc,0,1,0,0,0,Bowler,"8,9,10"
Adam Zampa,1,1,0,0,100,Bowler,"9,10,11"
Vikramjit Singh,25,25,6,0,100,Opening Batter,1
Max O'Dowd,6,9,1,0,66.7,Opening Batter,"1,2,3"
Colin Ackermann,10,11,2,0,90.9,Batting Allrounder,"2,3,4"
Bas de Leede,4,7,1,0,57.1,Batting Allrounder,"4,5,6"
Logan van Beek,0,3,0,0,0,Bowler,"7,8,9"
Roelof van der Merwe,0,1,0,0,0,Allrounder,"8,9,10"
Paul van Meekeren,0,1,0,0,0,Bowler,"10,11"
Jonny Bairstow,30,31,3,0,96.8,Wicketkeeper Batter,1
Dawid Malan,28,25,6,0,112,Top order Batter,"1,2,3"
Joe Root,3,10,0,0,30,Top order Batter,"2,3,4"
Ben Stokes,43,73,6,0,58.9,Allrounder,"3,4,5"
Jos Buttler,8,6,1,0,133.3,Wicketkeeper Batter,"4,5,6"
Liam Livingstone,1,6,0,0,16.7,Batting Allrounder,"5,6,7"
Moeen Ali,15,15,1,0,100,Batting Allrounder,"6,7,8"
Chris Woakes,0,4,0,0,0,Allrounder,"7,8,9"
David Willey,14,17,1,1,82.4,Bowler,"8,9,10"
Adil Rashid,2,7,0,0,28.6,Bowler,"9,10,11"
Mark Wood,5,6,1,0,83.3,Bowler,"10,11"
Pathum Nissanka,77,83,7,2,92.8,Top order Batter,1
Kusal Janith Perera,4,5,1,0,80,Top order Batter,"1,2,3"
Kusal Mendis,11,12,2,0,91.7,Wicketkeeper Batter,"2,3,4"
Sadeera Samarawickrama,65,54,7,1,120.4,Top order Batter,"3,4,5"
Abdullah Shafique,9,17,1,0,52.9,Top order Batter,1
Imam-ul-Haq,12,18,2,0,66.7,Top order Batter,"1,2,3"
Babar Azam,50,65,4,1,76.9,Top order Batter,"2,3,4"
Mohammad Rizwan,31,27,4,1,114.8,Wicketkeeper Batter,"3,4,5"
Iftikhar Ahmed,21,31,1,1,67.7,Middle order Batter,"4,5,6"
Saud Shakeel,52,52,7,0,100,Middle order Batter,"5,6,7"
Shadab Khan,43,36,3,2,119.4,Allrounder,"6,7,8"
Mohammad Nawaz,24,24,1,2,100,Allrounder,"7,8,9"
Shaheen Afridi,2,4,0,0,50,Bowler,"8,9,10"
Mohammad Wasim Jr,7,9,0,1,77.8,Bowler,"9,10,11"
Haris Rauf,0,1,0,0,0,Bowler,"10,11"
Temba Bavuma,28,27,4,1,103.7,Top order Batter,1
Quinton de Kock,24,14,5,0,171.4,Wicketkeeper Batter,"1,2,3"
Rassie van der Dussen,21,39,0,0,53.8,Top order Batter,"2,3,4"
Aiden Markram,91,93,7,3,97.8,Opening Batter,"3,4,5"
Heinrich Klaasen,12,10,0,1,120,Wicketkeeper Batter,"4,5,6"
David Miller,29,33,2,2,87.9,Middle order Batter,"5,6,7"
Marco Jansen,20,14,2,1,142.9,Allrounder,"6,7,8"
Gerald Coetzee,10,13,0,0,76.9,Bowler,"7,8,9"
Keshav Maharaj,7,21,1,0,33.3,Bowler,"8,9,10"
Lungi Ngidi,4,14,0,0,28.6,Bowler,"9,10,11"
Tabraiz Shamsi,4,6,0,0,66.7,Bowler,"10,11"
David Warner,81,65,5,6,124.6,Opening Batter,1
Travis Head,109,67,10,7,162.7,Middle order Batter,"1,2,3"
Mitchell Marsh,36,51,2,0,70.6,Allrounder,"2,3,4"
Steve Smith,18,17,2,0,105.9,Top order Batter,"3,4,5"
Marnus Labuschagne,18,26,2,0,69.2,Top order Batter,"4,5,6"
Glenn Maxwell,41,24,5,2,170.8,Batting Allrounder,"5,6,7"
Josh Inglis,38,28,4,1,135.7,Wicketkeeper Batter,"6,7,8"
Pat Cummins,37,14,2,4,264.3,Bowler,"7,8,9"
Mitchell Starc,1,3,0,0,33.3,Bowler,"8,9,10"
Adam Zampa,0,3,0,0,0,Bowler,"9,10,11"
Josh Hazlewood,0,0,0,0,---,Bowler,"10,11"
Devon Conway,28,17,6,0,164.7,Wicketkeeper Batter,1
Will Young,32,37,4,1,86.5,Top order Batter,"1,2,3"
Rachin Ravindra,116,89,9,5,130.3,Top order Batter,"2,3,4"
Daryl Mitchell,54,51,6,1,105.9,Allrounder,"3,4,5"
Tom Latham,21,22,2,0,95.5,Top order Batter,"4,5,6"
Glenn Phillips,12,16,1,0,75,Wicketkeeper Batter,"5,6,7"
Jimmy Neesham,58,39,3,3,148.7,Allrounder,"6,7,8"
Mitchell Santner,17,12,1,1,141.7,Bowling Allrounder,"7,8,9"
Matt Henry,9,8,1,0,112.5,Bowler,"8,9,10"
Trent Boult,10,8,0,1,125,Bowler,"9,10,11"
Lockie Ferguson,0,1,0,0,0,Bowler,"10,11"
Vikramjit Singh,3,9,0,0,33.3,Opening Batter,1
Max O'Dowd,0,3,0,0,0,Opening Batter,"1,2,3"
Colin Ackermann,15,33,1,0,45.5,Batting Allrounder,"3,4,5"
Bas de Leede,17,32,2,0,53.1,Batting Allrounder,"5,6,7"
Logan van Beek,23,16,2,1,143.8,Bowler,"7,8,9"
Shariz Ahmad,6,8,0,0,75,Bowler,"8,9,10"
Paul van Meekeren,0,2,0,0,0,Bowler,"10,11"
Litton Das,3,12,0,0,25,Wicketkeeper Batter,1
Tanzid Hasan,15,16,3,0,93.8,Top order Batter,"1,2,3"
Mehidy Hasan Miraz,35,40,5,1,87.5,Allrounder,"2,3,4"
Najmul Hossain Shanto,9,18,2,0,50,Top order Batter,"3,4,5"
Shakib Al Hasan,5,14,0,0,35.7,Allrounder,"4,5,6"
Mushfiqur Rahim,1,5,0,0,20,Middle order Batter,"5,6,7"
Mahmudullah,20,41,2,0,48.8,Middle order Batter,"6,7,8"
Mahedi Hasan,17,38,1,0,44.7,Allrounder,"7,8,9"
Taskin Ahmed,11,35,1,0,31.4,Bowler,"8,9,10"
Mustafizur Rahman,20,35,2,1,57.1,Bowler,"9,10,11"
Shoriful Islam,0,0,0,0,---,Bowler,"10,11"
Rohit Sharma,87,101,10,3,86.1,Top order Batter,1
Shubman Gill,9,13,1,0,69.2,Top order Batter,"1,2,3"
Virat Kohli,0,9,0,0,0,Top order Batter,"2,3,4"
Shreyas Iyer,4,16,0,0,25,Top order Batter,"3,4,5"
KL Rahul,39,58,3,0,67.2,Opening Batter,"4,5,6"
Suryakumar Yadav,49,47,4,1,104.3,Batter,"5,6,7"
Ravindra Jadeja,8,13,0,0,61.5,Allrounder,"6,7,8"
Mohammed Shami,1,5,0,0,20,Bowler,"7,8,9"
Jasprit Bumrah,16,25,1,0,64,Bowler,"8,9,10"
Kuldeep Yadav,9,13,1,0,69.2,Bowler,"9,10,11"
Jonny Bairstow,14,23,2,0,60.9,Wicketkeeper Batter,1
Dawid Malan,16,17,2,1,94.1,Top order Batter,"1,2,3"
Joe Root,0,1,0,0,0,Top order Batter,"2,3,4"
Ben Stokes,0,10,0,0,0,Allrounder,"3,4,5"
Jos Buttler,10,23,1,0,43.5,Wicketkeeper Batter,"4,5,6"
Moeen Ali,15,31,0,0,48.4,Batting Allrounder,"5,6,7"
Liam Livingstone,27,46,2,0,58.7,Batting Allrounder,"6,7,8"
Chris Woakes,10,20,1,0,50,Allrounder,"7,8,9"
David Willey,16,17,0,2,94.1,Bowler,"8,9,10"
Adil Rashid,13,20,2,0,65,Bowler,"9,10,11"
Mark Wood,0,0,0,0,---,Bowler,"10,11"
Pathum Nissanka,46,60,5,0,76.7,Top order Batter,1
Dimuth Karunaratne,15,21,1,0,71.4,Top order Batter,"1,2,3"
Kusal Mendis,39,50,3,0,78,Wicketkeeper Batter,"2,3,4"
Sadeera Samarawickrama,36,40,3,0,90,Top order Batter,"3,4,5"
Charith Asalanka,22,28,2,0,78.6,Batting Allrounder,"4,5,6"
Dhananjaya de Silva,14,26,1,0,53.8,Allrounder,"5,6,7"
Angelo Mathews,23,26,1,1,88.5,Allrounder,"6,7,8"
Dushmantha Chameera,1,4,0,0,25,Bowler,"7,8,9"
Maheesh Theekshana,29,31,3,1,93.5,Bowler,"8,9,10"
Kasun Rajitha,5,7,0,0,71.4,Bowler,"9,10,11"
Rahmanullah Gurbaz,0,4,0,0,0,Wicketkeeper Batter,1
Ibrahim Zadran,39,57,4,1,68.4,Opening Batter,"1,2,3"
Rahmat Shah,62,74,7,0,83.8,Top order Batter,"2,3,4"
Hashmatullah Shahidi,58,74,2,1,78.4,Top order Batter,"3,4,5"
Azmatullah Omarzai,73,63,6,3,115.9,Allrounder,"4,5,6"
Tanzid Hasan,0,5,0,0,0,Top order Batter,1
Litton Das,45,64,6,0,70.3,Wicketkeeper Batter,"1,2,3"
Najmul Hossain Shanto,4,3,1,0,133.3,Top order Batter,"2,3,4"
Mushfiqur Rahim,5,8,1,0,62.5,Middle order Batter,"3,4,5"
Mahmudullah,56,70,6,1,80,Middle order Batter,"4,5,6"
Shakib Al Hasan,43,64,4,0,67.2,Allrounder,"5,6,7"
Towhid Hridoy,7,3,0,1,233.3,Middle order Batter,"6,7,8"
Mehidy Hasan Miraz,25,30,1,1,83.3,Allrounder,"7,8,9"
Taskin Ahmed,6,13,0,0,46.2,Bowler,"8,9,10"
Mustafizur Rahman,3,7,0,0,42.9,Bowler,"9,10,11"
Shoriful Islam,1,4,0,0,25,Bowler,"10,11"
Abdullah Shafique,68,69,9,2,98.6,Top order Batter,1
Fakhar Zaman,81,74,3,7,109.5,Opening Batter,"1,2,3"
Babar Azam,9,16,1,0,56.3,Top order Batter,"2,3,4"
Mohammad Rizwan,26,21,4,0,123.8,Wicketkeeper Batter,"3,4,5"
Iftikhar Ahmed,17,15,2,0,113.3,Middle order Batter,"4,5,6"
Quinton de Kock,114,116,10,3,98.3,Wicketkeeper Batter,1
Temba Bavuma,24,28,4,1,85.7,Top order Batter,"1,2,3"
Rassie van der Dussen,133,118,9,5,112.7,Top order Batter,"2,3,4"
David Miller,53,30,2,4,176.7,Middle order Batter,"3,4,5"
Heinrich Klaasen,15,7,1,1,214.3,Wicketkeeper Batter,"4,5,6"
Aiden Markram,6,1,0,1,600,Opening Batter,"5,6,7"
Devon Conway,2,6,0,0,33.3,Wicketkeeper Batter,1
Will Young,33,37,5,0,89.2,Top order Batter,"1,2,3"
Rachin Ravindra,9,16,1,0,56.3,Top order Batter,"2,3,4"
Daryl Mitchell,24,30,4,0,80,Allrounder,"3,4,5"
Tom Latham,4,15,0,0,26.7,Top order Batter,"4,5,6"
Glenn Phillips,60,50,4,4,120,Wicketkeeper Batter,"5,6,7"
Mitchell Santner,7,18,1,0,38.9,Bowling Allrounder,"6,7,8"
Tim Southee,7,11,1,0,63.6,Bowler,"7,8,9"
Jimmy Neesham,0,8,0,0,0,Allrounder,"8,9,10"
Trent Boult,9,14,1,0,64.3,Bowler,"9,10,11"
Matt Henry,0,9,0,0,0,Bowler,"10,11"
Rohit Sharma,4,2,1,0,200,Top order Batter,1
Shubman Gill,92,92,11,2,100,Top order Batter,"1,2,3"
Virat Kohli,88,94,11,0,93.6,Top order Batter,"2,3,4"
Shreyas Iyer,82,56,3,6,146.4,Top order Batter,"3,4,5"
KL Rahul,21,19,2,0,110.5,Opening Batter,"4,5,6"
Suryakumar Yadav,12,9,2,0,133.3,Batter,"5,6,7"
Ravindra Jadeja,35,24,1,1,145.8,Allrounder,"6,7,8"
Mohammed Shami,2,4,0,0,50,Bowler,"7,8,9"
Jasprit Bumrah,1,1,0,0,100,Bowler,"8,9,10"
Pathum Nissanka,0,1,0,0,0,Top order Batter,1
Dimuth Karunaratne,0,1,0,0,0,Top order Batter,"1,2,3"
Kusal Mendis,1,10,0,0,10,Wicketkeeper Batter,"2,3,4"
Sadeera Samarawickrama,0,4,0,0,0,Top order Batter,"3,4,5"
Charith Asalanka,1,24,0,0,4.2,Batting Allrounder,"4,5,6"
Angelo Mathews,12,25,1,0,48,Allrounder,"5,6,7"
Dushmantha Chameera,0,6,0,0,0,Bowler,"7,8,9"
Maheesh Theekshana,12,23,2,0,52.2,Bowler,"8,9,10"
Kasun Rajitha,14,17,2,0,82.4,Bowler,"9,10,11"
Max O'Dowd,42,40,9,0,105,Opening Batter,"1,2,3"
Colin Ackermann,29,35,4,0,82.9,Batting Allrounder,"2,3,4"
Bas de Leede,3,6,0,0,50,Batting Allrounder,"5,6,7"
Logan van Beek,2,13,0,0,15.4,Bowler,"7,8,9"
Roelof van der Merwe,11,33,0,0,33.3,Allrounder,"8,9,10"
Paul van Meekeren,4,24,0,0,16.7,Bowler,"10,11"
Rahmanullah Gurbaz,10,11,2,0,90.9,Wicketkeeper Batter,1
Ibrahim Zadran,20,34,2,0,58.8,Opening Batter,"1,2,3"
Rahmat Shah,52,54,8,0,96.3,Top order Batter,"2,3,4"
Hashmatullah Shahidi,56,64,6,0,87.5,Top order Batter,"3,4,5"
Azmatullah Omarzai,31,28,3,0,110.7,Allrounder,"4,5,6"
Devon Conway,35,39,6,0,89.7,Wicketkeeper Batter,1
Rachin Ravindra,108,94,15,1,114.9,Top order Batter,"1,2,3"
Kane Williamson,95,79,10,2,120.3,Top order Batter,"2,3,4"
Daryl Mitchell,29,18,4,1,161.1,Allrounder,"3,4,5"
Mark Chapman,39,27,7,0,144.4,Middle order Batter,"4,5,6"
Glenn Phillips,41,25,4,2,164,Wicketkeeper Batter,"5,6,7"
Mitchell Santner,26,17,0,2,152.9,Bowling Allrounder,"6,7,8"
Tom Latham,2,2,0,0,100,Top order Batter,"7,8,9"
Abdullah Shafique,4,9,1,0,44.4,Top order Batter,1
Fakhar Zaman,126,81,8,11,155.6,Opening Batter,"1,2,3"
Babar Azam,66,63,6,2,104.8,Top order Batter,"2,3,4"
Travis Head,11,10,1,0,110,Middle order Batter,1
David Warner,15,16,1,1,93.8,Opening Batter,"1,2,3"
Steve Smith,44,52,3,0,84.6,Top order Batter,"2,3,4"
Marnus Labuschagne,71,83,7,0,85.5,Top order Batter,"3,4,5"
Josh Inglis,3,6,0,0,50,Wicketkeeper Batter,"4,5,6"
Cameron Green,47,52,5,0,90.4,Batting Allrounder,"5,6,7"
Marcus Stoinis,35,32,3,2,109.4,Batting Allrounder,"6,7,8"
Pat Cummins,10,13,1,0,76.9,Bowler,"7,8,9"
Mitchell Starc,10,13,0,0,76.9,Bowler,"8,9,10"
Adam Zampa,29,19,4,0,152.6,Bowler,"9,10,11"
Josh Hazlewood,1,1,0,0,100,Bowler,"10,11"
Jonny Bairstow,0,1,0,0,0,Wicketkeeper Batter,1
Dawid Malan,50,64,4,1,78.1,Top order Batter,"1,2,3"
Joe Root,13,17,2,0,76.5,Top order Batter,"2,3,4"
Ben Stokes,64,90,2,3,71.1,Allrounder,"3,4,5"
Jos Buttler,1,7,0,0,14.3,Wicketkeeper Batter,"4,5,6"
Moeen Ali,42,43,6,0,97.7,Batting Allrounder,"5,6,7"
Liam Livingstone,2,5,0,0,40,Batting Allrounder,"6,7,8"
Chris Woakes,32,33,4,1,97,Allrounder,"7,8,9"
David Willey,15,14,3,0,107.1,Bowler,"8,9,10"
Adil Rashid,20,15,1,1,133.3,Bowler,"9,10,11"
Mark Wood,0,0,0,0,---,Bowler,"10,11"
Rohit Sharma,40,24,6,2,166.7,Top order Batter,1
Shubman Gill,23,24,4,1,95.8,Top order Batter,"1,2,3"
Virat Kohli,101,121,10,0,83.5,Top order Batter,"2,3,4"
Shreyas Iyer,77,87,7,2,88.5,Top order Batter,"3,4,5"
KL Rahul,8,17,0,0,47.1,Opening Batter,"4,5,6"
Suryakumar Yadav,22,14,5,0,157.1,Batter,"5,6,7"
Ravindra Jadeja,29,15,3,1,193.3,Allrounder,"6,7,8"
Quinton de Kock,5,10,1,0,50,Wicketkeeper Batter,1
Temba Bavuma,11,19,1,0,57.9,Top order Batter,"1,2,3"
Rassie van der Dussen,13,32,1,0,40.6,Top order Batter,"2,3,4"
Aiden Markram,9,6,2,0,150,Opening Batter,"3,4,5"
Heinrich Klaasen,1,11,0,0,9.1,Wicketkeeper Batter,"4,5,6"
David Miller,11,11,2,0,100,Middle order Batter,"5,6,7"
Marco Jansen,14,30,1,0,46.7,Allrounder,"6,7,8"
Keshav Maharaj,7,11,1,0,63.6,Bowler,"7,8,9"
Kagiso Rabada,6,26,0,0,23.1,Bowler,"8,9,10"
Lungi Ngidi,0,3,0,0,0,Bowler,"9,10,11"
Tabraiz Shamsi,4,4,1,0,100,Bowler,"10,11"
Pathum Nissanka,41,36,8,0,113.9,Top order Batter,1
Kusal Janith Perera,4,5,1,0,80,Top order Batter,"1,2,3"
Kusal Mendis,19,30,1,1,63.3,Wicketkeeper Batter,"2,3,4"
Sadeera Samarawickrama,41,42,4,0,97.6,Top order Batter,"3,4,5"
Charith Asalanka,108,105,6,5,102.9,Batting Allrounder,"4,5,6"
Angelo Mathews,0,0,0,0,---,Allrounder,"5,6,7"
Dhananjaya de Silva,34,36,4,1,94.4,Allrounder,"6,7,8"
Maheesh Theekshana,21,31,3,0,67.7,Bowler,"7,8,9"
Dushmantha Chameera,4,9,0,0,44.4,Bowler,"8,9,10"
Kasun Rajitha,0,2,0,0,0,Bowler,"9,10,11"
Tanzid Hasan,9,5,2,0,180,Top order Batter,1
Litton Das,23,22,2,2,104.5,Wicketkeeper Batter,"1,2,3"
Najmul Hossain Shanto,90,101,12,0,89.1,Top order Batter,"2,3,4"
Shakib Al Hasan,82,65,12,2,126.2,Allrounder,"3,4,5"
Mahmudullah,22,23,3,1,95.7,Middle order Batter,"4,5,6"
Mushfiqur Rahim,10,13,1,0,76.9,Middle order Batter,"5,6,7"
Towhid Hridoy,15,7,0,2,214.3,Middle order Batter,"6,7,8"
Mehidy Hasan Miraz,3,5,0,0,60,Allrounder,"7,8,9"
Tanzim Hasan,5,6,1,0,83.3,Top order Batter,"8,9,10"
Rahmanullah Gurbaz,21,25,2,0,84,Wicketkeeper Batter,1
Ibrahim Zadran,129,143,8,3,90.2,Opening Batter,"1,2,3"
Rahmat Shah,30,44,1,0,68.2,Top order Batter,"2,3,4"
Hashmatullah Shahidi,26,43,2,0,60.5,Top order Batter,"3,4,5"
Azmatullah Omarzai,22,18,1,2,122.2,Allrounder,"4,5,6"
Mohammad Nabi,12,10,0,1,120,Allrounder,"5,6,7"
Rashid Khan,35,18,2,3,194.4,Bowling Allrounder,"6,7,8"
David Warner,18,29,3,0,62.1,Opening Batter,1
Travis Head,0,2,0,0,0,Middle order Batter,"1,2,3"
Mitchell Marsh,24,11,2,2,218.2,Allrounder,"2,3,4"
Marnus Labuschagne,14,28,2,0,50,Top order Batter,"3,4,5"
Josh Inglis,0,1,0,0,0,Wicketkeeper Batter,"4,5,6"
Glenn Maxwell,201,128,21,10,157,Batting Allrounder,"5,6,7"
Marcus Stoinis,6,7,1,0,85.7,Batting Allrounder,"6,7,8"
Mitchell Starc,3,7,0,0,42.9,Bowler,"7,8,9"
Pat Cummins,12,68,1,0,17.6,Bowler,"8,9,10"
Jonny Bairstow,15,17,2,0,88.2,Wicketkeeper Batter,1
Dawid Malan,87,74,10,2,117.6,Top order Batter,"1,2,3"
Joe Root,28,35,1,0,80,Top order Batter,"2,3,4"
Ben Stokes,108,84,6,6,128.6,Allrounder,"3,4,5"
Harry Brook,11,16,2,0,68.8,Batter,"4,5,6"
Jos Buttler,5,11,0,0,45.5,Wicketkeeper Batter,"5,6,7"
Moeen Ali,4,15,0,0,26.7,Batting Allrounder,"6,7,8"
Chris Woakes,51,45,5,1,113.3,Allrounder,"7,8,9"
David Willey,6,2,0,1,300,Bowler,"8,9,10"
Adil Rashid,1,1,0,0,100,Bowler,"10,11"
Max O'Dowd,5,11,1,0,45.5,Opening Batter,"1,2,3"
Colin Ackermann,0,2,0,0,0,Batting Allrounder,"2,3,4"
Bas de Leede,10,12,2,0,83.3,Batting Allrounder,"5,6,7"
Logan van Beek,2,2,0,0,100,Bowler,"7,8,9"
Roelof van der Merwe,0,4,0,0,0,Allrounder,"8,9,10"
Paul van Meekeren,4,3,1,0,133.3,Bowler,"10,11"
Pathum Nissanka,2,8,0,0,25,Top order Batter,1
Kusal Janith Perera,51,28,9,2,182.1,Top order Batter,"1,2,3"
Kusal Mendis,6,7,1,0,85.7,Wicketkeeper Batter,"2,3,4"
Sadeera Samarawickrama,1,2,0,0,50,Top order Batter,"3,4,5"
Charith Asalanka,8,8,1,0,100,Batting Allrounder,"4,5,6"
Angelo Mathews,16,27,2,0,59.3,Allrounder,"5,6,7"
Dhananjaya de Silva,19,24,2,1,79.2,Allrounder,"6,7,8"
Chamika Karunaratne,6,17,1,0,35.3,Bowling Allrounder,"7,8,9"
Maheesh Theekshana,38,91,3,0,41.8,Bowler,"8,9,10"
Dushmantha Chameera,1,20,0,0,5,Bowler,"9,10,11"
Devon Conway,45,42,9,0,107.1,Wicketkeeper Batter,1
Rachin Ravindra,42,34,3,3,123.5,Top order Batter,"1,2,3"
Kane Williamson,14,15,2,0,93.3,Top order Batter,"2,3,4"
Daryl Mitchell,43,31,5,2,138.7,Allrounder,"3,4,5"
Mark Chapman,7,6,1,0,116.7,Middle order Batter,"4,5,6"
Glenn Phillips,17,10,3,0,170,Wicketkeeper Batter,"5,6,7"
Tom Latham,2,2,0,0,100,Top order Batter,"6,7,8"
Rahmanullah Gurbaz,25,22,3,1,113.6,Wicketkeeper Batter,1
Ibrahim Zadran,15,30,3,0,50,Opening Batter,"1,2,3"
Rahmat Shah,26,46,2,0,56.5,Top order Batter,"2,3,4"
Hashmatullah Shahidi,2,7,0,0,28.6,Top order Batter,"3,4,5"
Azmatullah Omarzai,97,107,7,3,90.7,Allrounder,"4,5,6"
Ikram Alikhil,12,14,1,1,85.7,Wicketkeeper Batter,"5,6,7"
Mohammad Nabi,2,3,0,0,66.7,Allrounder,"6,7,8"
Rashid Khan,14,30,0,0,46.7,Bowling Allrounder,"7,8,9"
Noor Ahmad,26,32,4,0,81.3,Bowler,"8,9,10"
Mujeeb Ur Rahman,8,5,0,1,160,Bowler,"9,10,11"
Naveen-ul-Haq,2,4,0,0,50,Bowler,"10,11"
Quinton de Kock,41,47,2,3,87.2,Wicketkeeper Batter,1
Temba Bavuma,23,28,3,0,82.1,Top order Batter,"1,2,3"
Rassie van der Dussen,76,95,6,1,80,Top order Batter,"2,3,4"
Aiden Markram,25,32,1,1,78.1,Opening Batter,"3,4,5"
Heinrich Klaasen,10,13,1,0,76.9,Wicketkeeper Batter,"4,5,6"
David Miller,24,33,1,1,72.7,Middle order Batter,"5,6,7"
Andile Phehlukwayo,39,37,1,3,105.4,Allrounder,"6,7,8"
Tanzid Hasan,36,34,6,0,105.9,Top order Batter,1
Litton Das,36,45,5,0,80,Wicketkeeper Batter,"1,2,3"
Najmul Hossain Shanto,45,57,6,0,78.9,Top order Batter,"2,3,4"
Towhid Hridoy,74,79,5,2,93.7,Middle order Batter,"3,4,5"
Mahmudullah,32,28,1,3,114.3,Middle order Batter,"4,5,6"
Mushfiqur Rahim,21,24,0,1,87.5,Middle order Batter,"5,6,7"
Mehidy Hasan Miraz,29,20,4,0,145,Allrounder,"6,7,8"
